id,name,status,source,shop_url,image_url,local_image_path
54,Stólpi 60mm Á Platta 2449530 Heitgalv Lengd 750mm,updated,iskraft,https://iskraft.husa.is/afldreifibunadur/tenglastodvar/garo-tenglastodvar/stolpi-60mm-a-platta-2449530-heitgalv-lengd-750mm/,https://iskraft.husa.is/media/z5rbospi/6107203.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_54.webp
55,"Stólpi+sökkul Mvrf 1970999  60mm, Sökkull/Stólpi Fyrir Tengl",updated,iskraft,https://iskraft.husa.is/afldreifibunadur/tenglastodvar/garo-tenglastodvar/stolpiplussokkul-mvrf-1970999-60mm-sokkullstolpi-fyrir-tengl/,https://iskraft.husa.is/media/mgipjugs/6107202.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_55.webp
56,Tenglahús Pdln-400  M. Tvískiptu Loki+systemlæsingu,updated,iskraft,https://iskraft.husa.is/afldreifibunadur/tenglastodvar/garo-tenglastodvar/tenglahus-pdln-400-m-tviskiptu-lokiplussystemlaesingu/,https://iskraft.husa.is/media/abnnryoa/6107175.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_56.webp
57,Tenglahús Pn-100 M.Lykillæsingu Hús=255x200x205mm (Hxbxd),updated,iskraft,https://iskraft.husa.is/afldreifibunadur/tenglastodvar/garo-tenglastodvar/tenglahus-pn-100-mlykillaesingu-hus255x200x205mm-hxbxd/,https://iskraft.husa.is/media/q14e55uy/6107171_jan2017.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_57.webp
58,"Tenglahús Pn-300 Með Snaralæsingu, Hús=255x200x205mm(Hxbxd)",updated,iskraft,https://iskraft.husa.is/afldreifibunadur/tenglastodvar/garo-tenglastodvar/tenglahus-pn-300-med-snaralaesingu-hus255x200x205mmhxbxd/,https://iskraft.husa.is/media/db5kft0t/6107173_jan2017.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_58.webp
59,"Tvöf.Flangs Nýr Pnfd-60 Á Rör 60mm,F. Tvö Tenglahús",updated,iskraft,https://iskraft.husa.is/afldreifibunadur/tenglastodvar/garo-tenglastodvar/tvofflangs-nyr-pnfd-60-a-ror-60mmf-tvo-tenglahus/,https://iskraft.husa.is/media/w0eb5dym/6107180.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_59.webp
60,Bypass Rofi 310953 Fyrir Ups Daker Og Keor 1000-3000va,updated,iskraft,https://iskraft.husa.is/afldreifibunadur/varaaflgjafar/bypass-rofi-310953-fyrir-ups-daker-og-keor-1000-3000va/,https://iskraft.husa.is/media/4neliplz/6108366.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_60.webp
61,Bypass Rofi 310963 Fyrir Ups Daker Og Keor 5000-10000va,updated,iskraft,https://iskraft.husa.is/afldreifibunadur/varaaflgjafar/bypass-rofi-310963-fyrir-ups-daker-og-keor-5000-10000va/,https://iskraft.husa.is/media/of2patah/6108367.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_61.webp
62,Netkort 311058 Snmp Cs102 Sk Innf. Fyrir Ups Daker/Keor,updated,iskraft,https://iskraft.husa.is/afldreifibunadur/varaaflgjafar/netkort-311058-snmp-cs102-sk-innf-fyrir-ups-dakerkeor/,https://iskraft.husa.is/media/2i1nhjfx/6108371.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_62.webp
63,Rafhlöðurekki 310661 Með Rafhlöðum F. Ups 310171 2kva,updated,iskraft,https://iskraft.husa.is/afldreifibunadur/varaaflgjafar/rafhlodurekki-310661-med-rafhlodum-f-ups-310171-2kva/,https://iskraft.husa.is/media/l4dfpzos/6108357.jpg?height=590&width=590&rmode=boxpad&bgcolor=fff&format=webp,/static/inventory_images/products/iskraft_63.webp
